חומר פעיל,גידול,MRL,תאריך עדכון,המתנה לאישור תקנות,מזהה גידול ממופה,שם גידול ממופה,הסבר מיפוי גידול,מזהה חומר הדברה ממופה,שם חומר הדברה ממופה,הסבר מיפוי חומר הדברה
CAPTAN,קיווי,15.0,2007-01-01T00:00:00,,112,קיווי,התאמה מדויקת,34,CAPTAN,התאמה מדויקת
CAPTAN,אפרסמון,10.0,1996-01-01T00:00:00,,12,אפרסמון,התאמה מדויקת,34,CAPTAN,התאמה מדויקת
CAPTAN,תפוח עץ,10.0,1998-11-01T00:00:00,,140,תפוח עץ,התאמה מדויקת,34,CAPTAN,התאמה מדויקת
CAPTAN,שסק,5.0,1998-11-01T00:00:00,,128,שסק,התאמה מדויקת,34,CAPTAN,התאמה מדויקת
CAPTAN,אגס,10.0,1998-11-01T00:00:00,,4,אגס,התאמה מדויקת,34,CAPTAN,התאמה מדויקת
CAPTAN,חבוש,10.0,1998-11-01T00:00:00,,39,חבוש,התאמה מדויקת,34,CAPTAN,התאמה מדויקת
CAPTAN,שזיף,5.0,1998-11-01T00:00:00,,126,שזיף,התאמה מדויקת,34,CAPTAN,התאמה מדויקת
CAPTAN,משמש,15.0,1996-01-01T00:00:00,,76,משמש,התאמה מדויקת,34,CAPTAN,התאמה מדויקת
CAPTAN,דובדבן,,2023-03-15T00:00:00,1.000,31,דובדבן,התאמה מדויקת,34,CAPTAN,התאמה מדויקת
CAPTAN,נקטרינה,15.0,2004-07-13T00:00:00,,77,נקטרינה,התאמה מדויקת,34,CAPTAN,התאמה מדויקת
CAPTAN,אפרסק,15.0,1996-01-01T00:00:00,,13,אפרסק,התאמה מדויקת,34,CAPTAN,התאמה מדויקת
CARBARYL,ביצים,0.05,2013-01-10T00:00:00,,15,ביצים,התאמה מדויקת,35,CARBARYL,התאמה מדויקת
CARBARYL,בשר עוף,0.05,2013-01-10T00:00:00,,23,בשר עוף,התאמה מדויקת,35,CARBARYL,התאמה מדויקת
CARBARYL,"בשר עוף, חלקי פנים",0.05,2013-01-23T00:00:00,,24,"בשר עוף, חלקי פנים",התאמה מדויקת,35,CARBARYL,התאמה מדויקת
CARBENDAZIM,תות שדה לפרי,5.0,1996-01-01T00:00:00,יתבטל,133,תות שדה לפרי,התאמה מדויקת,36,CARBENDAZIM,התאמה מדויקת
CARBENDAZIM,כרפס/סלרי (שורש ועלים),2.0,1996-01-01T00:00:00,יתבטל,62,כרפס/סלרי (שורש ועלים),התאמה מדויקת,36,CARBENDAZIM,התאמה מדויקת
CARBENDAZIM,מלון,2.0,1996-01-01T00:00:00,יתבטל,70,מלון,התאמה מדויקת,36,CARBENDAZIM,התאמה מדויקת
CARBENDAZIM,מלפפון,0.1,2005-08-18T00:00:00,,72,מלפפון,התאמה מדויקת,36,CARBENDAZIM,התאמה מדויקת
CARBENDAZIM,דלעת,0.2,2015-11-16T00:00:00,יתבטל,35,דלעת,התאמה מדויקת,36,CARBENDAZIM,התאמה מדויקת
CARBENDAZIM,קישוא,0.1,2005-08-18T00:00:00,,115,קישוא,התאמה מדויקת,36,CARBENDAZIM,התאמה מדויקת
CARBENDAZIM,חסה,5.0,1996-01-01T00:00:00,,46,חסה,התאמה מדויקת,36,CARBENDAZIM,התאמה מדויקת
CARBENDAZIM,פלפל,0.1,2005-08-18T00:00:00,יתבטל,99,פלפל,התאמה מדויקת,36,CARBENDAZIM,התאמה מדויקת
CARBENDAZIM,חציל,0.1,2005-08-18T00:00:00,יתבטל,47,חציל,התאמה מדויקת,36,CARBENDAZIM,התאמה מדויקת
CARBENDAZIM,עגבניה,0.1,1996-01-01T00:00:00,,84,עגבניה,התאמה מדויקת,36,CARBENDAZIM,התאמה מדויקת
CARBENDAZIM,דלורית,0.2,2015-11-16T00:00:00,יתבטל,34,דלורית,התאמה מדויקת,36,CARBENDAZIM,התאמה מדויקת
CARBENDAZIM,גזר,0.2,2005-08-18T00:00:00,,28,גזר,התאמה מדויקת,36,CARBENDAZIM,התאמה מדויקת
CARBENDAZIM,אגוז אדמה,0.1,2013-01-10T00:00:00,,3,אגוז אדמה,התאמה מדויקת,36,CARBENDAZIM,התאמה מדויקת
CARBENDAZIM,שקד,0.1,1996-01-01T00:00:00,,131,שקד,התאמה מדויקת,36,CARBENDAZIM,התאמה מדויקת
CARBENDAZIM,תפוח עץ,3.0,2005-08-18T00:00:00,,140,תפוח עץ,התאמה מדויקת,36,CARBENDAZIM,התאמה מדויקת
CARBENDAZIM,אגס,3.0,2005-08-18T00:00:00,,4,אגס,התאמה מדויקת,36,CARBENDAZIM,התאמה מדויקת
CARBENDAZIM,שזיף,0.2,2009-10-13T00:00:00,,126,שזיף,התאמה מדויקת,36,CARBENDAZIM,התאמה מדויקת
CARBENDAZIM,משמש,0.1,2009-10-13T00:00:00,,76,משמש,התאמה מדויקת,36,CARBENDAZIM,התאמה מדויקת
CARBOXIN,חימצה (חומוס),0.01,2013-01-10T00:00:00,,43,חימצה (חומוס),התאמה מדויקת,37,CARBOXIN,התאמה מדויקת
CARBOXIN,בשר,0.01,2013-01-10T00:00:00,,22,בשר,התאמה מדויקת,37,CARBOXIN,התאמה מדויקת
CARBOXIN,כותנה,0.01,2013-01-10T00:00:00,,56,כותנה,התאמה מדויקת,37,CARBOXIN,התאמה מדויקת
CARBOXIN,שעורה תרבותית,0.01,2013-01-10T00:00:00,,130,שעורה תרבותית,התאמה מדויקת,37,CARBOXIN,התאמה מדויקת
CARBOXIN,תירס,0.01,2013-01-10T00:00:00,,134,תירס,התאמה מדויקת,37,CARBOXIN,התאמה מדויקת
CARBOXIN,חיטה,0.01,2013-01-10T00:00:00,,42,חיטה,התאמה מדויקת,37,CARBOXIN,התאמה מדויקת
CARFENTRAZONE ETHYL,בקיה,0.02,2013-01-10T00:00:00,,19,בקיה,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,ענבים,0.02,2009-02-05T00:00:00,,89,ענבים,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,פרי הדר,0.02,2009-02-05T00:00:00,,103,פרי הדר,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,תפוח אדמה,0.02,2009-02-05T00:00:00,,139,תפוח אדמה,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,אבטיח,0.02,2009-02-05T00:00:00,,2,אבטיח,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,חימצה (חומוס),0.01,2009-10-13T00:00:00,,43,חימצה (חומוס),התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,פפריקה,0.2,2008-07-30T00:00:00,,101,פפריקה,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,בצל,0.02,2009-02-05T00:00:00,,17,בצל,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,כותנה,0.02,2009-02-05T00:00:00,,56,כותנה,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,אגוז אדמה,0.02,2009-02-05T00:00:00,,3,אגוז אדמה,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,חמנית מצויה,0.02,2009-02-05T00:00:00,,45,חמנית מצויה,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,שקד,0.02,2009-02-05T00:00:00,,131,שקד,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,אבוקדו,0.08,2009-02-05T00:00:00,,1,אבוקדו,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,מנגו,0.02,2009-02-05T00:00:00,,73,מנגו,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,אפרסמון,0.02,2009-02-05T00:00:00,,12,אפרסמון,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,רימון,0.02,2009-10-13T00:00:00,,121,רימון,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,תפוח עץ,0.02,2009-02-05T00:00:00,,140,תפוח עץ,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,אגס,0.02,2009-02-05T00:00:00,,4,אגס,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,שזיף,0.02,2009-02-05T00:00:00,,126,שזיף,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,נקטרינה,0.02,2009-02-05T00:00:00,,77,נקטרינה,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,אפרסק,0.02,2009-02-05T00:00:00,,13,אפרסק,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,תמר,0.02,2009-02-05T00:00:00,,138,תמר,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,זית אירופאי,0.02,2009-02-05T00:00:00,,37,זית אירופאי,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,תירס,0.02,2009-02-05T00:00:00,,134,תירס,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,שבולת שועל,0.02,2009-02-05T00:00:00,,122,שבולת שועל,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,דורה-סורגום,0.02,2013-01-10T00:00:00,,32,דורה-סורגום,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CARFENTRAZONE ETHYL,חיטה,0.02,2009-02-05T00:00:00,,42,חיטה,התאמה מדויקת,38,CARFENTRAZONE ETHYL,התאמה מדויקת
CHLORANTRANILIPROLE,קורנית,,2021-02-25T00:00:00,8.000,110,קורנית,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,ענבים,0.4,2011-07-24T00:00:00,1.000,89,ענבים,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,תות שדה לפרי,0.5,2012-07-26T00:00:00,,133,תות שדה לפרי,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,פרי הדר,,2019-06-10T00:00:00,0.100,103,פרי הדר,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,תפוח אדמה,0.01,2013-03-13T00:00:00,0.030,139,תפוח אדמה,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,צנונית,0.05,2015-11-15T00:00:00,,107,צנונית,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,כרפס/סלרי (שורש ועלים),,2021-01-12T00:00:00,1.000,62,כרפס/סלרי (שורש ועלים),התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,כרוב,0.2,2011-07-24T00:00:00,2.000,57,כרוב,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,ברוקולי,0.2,2011-07-24T00:00:00,1.500,21,ברוקולי,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,כרובית,0.2,2011-07-24T00:00:00,0.500,61,כרובית,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,מלון,0.02,2014-03-02T00:00:00,,70,מלון,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,מלפפון,0.02,2014-02-16T00:00:00,,72,מלפפון,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,קישוא,0.02,2014-03-02T00:00:00,,115,קישוא,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,חימצה (חומוס),0.05,2015-11-15T00:00:00,0.200,43,חימצה (חומוס),התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,כוסברה (גד השדה),,2021-02-25T00:00:00,8.000,55,כוסברה (גד השדה),התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,חסה,0.2,2011-07-24T00:00:00,20.000,46,חסה,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,פלפל,0.2,2020-01-22T00:00:00,1.000,99,פלפל,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,חציל,,2018-09-04T00:00:00,0.010,47,חציל,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,עגבניה,0.05,2011-05-17T00:00:00,0.600,84,עגבניה,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,פפריקה,0.01,2015-11-17T00:00:00,,101,פפריקה,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,אפון,0.05,2013-03-13T00:00:00,,10,אפון,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,שעועית ירוקה,0.05,2013-03-13T00:00:00,,129,שעועית ירוקה,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,בטטה,0.05,2012-05-06T00:00:00,,14,בטטה,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,סלק אדום (שורש ועלים),,2023-09-27T00:00:00,0.050,80,סלק אדום (שורש ועלים),התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,גזר,0.05,2012-05-03T00:00:00,,28,גזר,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,בצל,0.05,2012-11-18T00:00:00,,17,בצל,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,כותנה,0.05,2012-11-18T00:00:00,0.300,56,כותנה,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,אגוז אדמה,0.05,2012-02-15T00:00:00,,3,אגוז אדמה,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,חמנית מצויה,0.01,2015-11-17T00:00:00,,45,חמנית מצויה,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,שקד,0.05,2012-11-18T00:00:00,,131,שקד,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,אורגנו,,2021-02-25T00:00:00,8.000,5,אורגנו,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,רימון,0.2,2013-03-13T00:00:00,0.400,121,רימון,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,תפוח עץ,0.2,2011-07-24T00:00:00,0.400,140,תפוח עץ,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,אגס,0.2,2011-07-24T00:00:00,,4,אגס,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,שזיף,0.3,2014-03-06T00:00:00,1.000,126,שזיף,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,משמש,0.3,2014-03-06T00:00:00,1.000,76,משמש,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,דובדבן,,2024-09-09T00:00:00,0.300,31,דובדבן,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,נקטרינה,0.3,2014-03-06T00:00:00,1.000,77,נקטרינה,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,אפרסק,0.3,2014-03-06T00:00:00,1.000,13,אפרסק,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,תמר,0.15,2016-08-07T00:00:00,,138,תמר,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,זית אירופאי,0.1,2012-01-10T00:00:00,,37,זית אירופאי,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,תירס,0.01,2010-06-21T00:00:00,,134,תירס,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,ריחן מצוי / בזיל,,2021-02-25T00:00:00,8.000,120,ריחן מצוי / בזיל,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,עירית בצלית,,2021-01-12T00:00:00,3.000,85,עירית בצלית,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,שמיר (שבת),,2021-02-25T00:00:00,8.000,127,שמיר (שבת),התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,מנטה,,2021-01-12T00:00:00,8.000,74,מנטה,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,פטרוסלינון (שורש ועלים),,2021-01-12T00:00:00,8.000,93,פטרוסלינון (שורש ועלים),התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,רוזמרין,,2021-02-25T00:00:00,8.000,117,רוזמרין,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,מרווה,,2021-02-25T00:00:00,8.000,75,מרווה,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,טרגון,,2021-02-25T00:00:00,8.000,50,טרגון,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,רוקט (בן חרדל),,2021-01-12T00:00:00,6.000,119,רוקט (בן חרדל),התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORANTRANILIPROLE,רוקולה,,2021-01-12T00:00:00,6.000,118,רוקולה,התאמה מדויקת,39,CHLORANTRANILIPROLE,התאמה מדויקת
CHLORDANE,ירקות,0.02,1996-01-01T00:00:00,,51,ירקות,התאמה מדויקת,40,CHLORDANE,התאמה מדויקת
CHLORDANE,פירות,0.02,2005-08-21T00:00:00,,95,פירות,התאמה מדויקת,40,CHLORDANE,התאמה מדויקת
CHLORDANE,חלב,0.002,1999-01-01T00:00:00,,44,חלב,התאמה מדויקת,40,CHLORDANE,התאמה מדויקת
CHLORDANE,בשר,0.05,2013-01-23T00:00:00,,22,בשר,התאמה מדויקת,40,CHLORDANE,התאמה מדויקת
CHLORDANE,ביצים,0.02,1999-01-01T00:00:00,,15,ביצים,התאמה מדויקת,40,CHLORDANE,התאמה מדויקת
CHLORDANE,בשר עוף,0.5,1999-01-01T00:00:00,,23,בשר עוף,התאמה מדויקת,40,CHLORDANE,התאמה מדויקת
CHLORFENAPYR,מלפפון,0.05,1997-12-18T00:00:00,,72,מלפפון,התאמה מדויקת,41,CHLORFENAPYR,התאמה מדויקת
CHLORFENAPYR,פלפל,0.1,1997-12-18T00:00:00,,99,פלפל,התאמה מדויקת,41,CHLORFENAPYR,התאמה מדויקת
CHLORFENAPYR,עגבניה,0.5,2012-01-29T00:00:00,,84,עגבניה,התאמה מדויקת,41,CHLORFENAPYR,התאמה מדויקת
CHLORFLUAZURON,אספסת,0.5,1996-01-01T00:00:00,,8,אספסת,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,קורנית,2.0,2005-08-21T00:00:00,,110,קורנית,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,תות שדה לפרי,0.1,1996-01-01T00:00:00,,133,תות שדה לפרי,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,תפוח אדמה,0.5,1996-01-01T00:00:00,,139,תפוח אדמה,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,קינרס (ארטישוק),0.2,1996-01-01T00:00:00,,114,קינרס (ארטישוק),התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,כרוב,0.2,1996-01-01T00:00:00,,57,כרוב,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,ברוקולי,0.2,1996-01-01T00:00:00,,21,ברוקולי,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,כרובית,0.2,1996-01-01T00:00:00,,61,כרובית,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,מלפפון,0.2,1996-01-01T00:00:00,,72,מלפפון,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,קישוא,0.2,1996-01-01T00:00:00,,115,קישוא,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,אבטיח,0.2,2013-01-10T00:00:00,,2,אבטיח,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,כוסברה (גד השדה),2.0,2005-08-21T00:00:00,,55,כוסברה (גד השדה),התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,כרוב סיני,0.2,1996-01-01T00:00:00,,59,כרוב סיני,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,חסה,0.2,2008-01-02T00:00:00,,46,חסה,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,פלפל,0.2,1996-01-01T00:00:00,,99,פלפל,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,חציל,0.2,1996-01-01T00:00:00,,47,חציל,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,עגבניה,0.2,1996-01-01T00:00:00,,84,עגבניה,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,פפריקה,0.2,2013-01-10T00:00:00,,101,פפריקה,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,שעועית ירוקה,0.2,1996-01-01T00:00:00,,129,שעועית ירוקה,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,בטטה,0.5,2013-01-10T00:00:00,,14,בטטה,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,גזר,0.2,1996-01-01T00:00:00,,28,גזר,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,כותנה,0.5,1996-01-01T00:00:00,,56,כותנה,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,אגוז אדמה,0.2,2013-01-10T00:00:00,,3,אגוז אדמה,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,תירס,0.01,2005-12-11T00:00:00,,134,תירס,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,עירית בצלית,2.0,2005-08-21T00:00:00,,85,עירית בצלית,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,מיורם,2.0,2005-08-21T00:00:00,,68,מיורם,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,פטרוסלינון (שורש ועלים),2.0,2007-05-17T00:00:00,,93,פטרוסלינון (שורש ועלים),התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,מרווה,2.0,2005-08-21T00:00:00,,75,מרווה,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORFLUAZURON,טרגון,2.0,2005-08-21T00:00:00,,50,טרגון,התאמה מדויקת,42,CHLORFLUAZURON,התאמה מדויקת
CHLORIDAZON,סלק מספוא,0.01,1999-01-01T00:00:00,,81,סלק מספוא,התאמה מדויקת,43,CHLORIDAZON,התאמה מדויקת
CHLORIDAZON,סלק סוכר,0.01,1999-01-01T00:00:00,,82,סלק סוכר,התאמה מדויקת,43,CHLORIDAZON,התאמה מדויקת
CHLORMEQUAT CHLORIDE,קש חיטה,50.0,2000-04-29T00:00:00,,116,קש חיטה,התאמה מדויקת,44,CHLORMEQUAT CHLORIDE,התאמה מדויקת
CHLORMEQUAT CHLORIDE,פרי הדר,3.0,2000-04-29T00:00:00,,103,פרי הדר,התאמה מדויקת,44,CHLORMEQUAT CHLORIDE,התאמה מדויקת
CHLORMEQUAT CHLORIDE,חלב,0.5,2005-08-22T00:00:00,,44,חלב,התאמה מדויקת,44,CHLORMEQUAT CHLORIDE,התאמה מדויקת
CHLORMEQUAT CHLORIDE,בשר,0.2,2005-08-22T00:00:00,,22,בשר,התאמה מדויקת,44,CHLORMEQUAT CHLORIDE,התאמה מדויקת
CHLORMEQUAT CHLORIDE,"בשר, חלקי פנים",0.5,2005-08-22T00:00:00,,25,"בשר, חלקי פנים",התאמה מדויקת,44,CHLORMEQUAT CHLORIDE,התאמה מדויקת
CHLORMEQUAT CHLORIDE,ביצים,0.1,2005-08-22T00:00:00,,15,ביצים,התאמה מדויקת,44,CHLORMEQUAT CHLORIDE,התאמה מדויקת
CHLORMEQUAT CHLORIDE,בשר עוף,0.04,2005-08-22T00:00:00,,23,בשר עוף,התאמה מדויקת,44,CHLORMEQUAT CHLORIDE,התאמה מדויקת
CHLORMEQUAT CHLORIDE,אגס,3.0,2000-04-29T00:00:00,,4,אגס,התאמה מדויקת,44,CHLORMEQUAT CHLORIDE,התאמה מדויקת
CHLORMEQUAT CHLORIDE,"בשר עוף, חלקי פנים",0.1,2005-08-22T00:00:00,,24,"בשר עוף, חלקי פנים",התאמה מדויקת,44,CHLORMEQUAT CHLORIDE,התאמה מדויקת
CHLOROTHALONIL,קורנית,1.0,2011-03-01T00:00:00,,110,קורנית,התאמה מדויקת,45,CHLOROTHALONIL,התאמה מדויקת
CHLOROTHALONIL,תות שדה לפרי,5.0,1996-01-01T00:00:00,,133,תות שדה לפרי,התאמה מדויקת,45,CHLOROTHALONIL,התאמה מדויקת
CHLOROTHALONIL,תפוח אדמה,0.2,1996-01-01T00:00:00,,139,תפוח אדמה,התאמה מדויקת,45,CHLOROTHALONIL,התאמה מדויקת
